"DIA","SEM_COMPROMISSO","DURACAO_DIA","INICIO","FIM","DURACAO_COMPROMISSO","TITULO","LOCAL"
"16-12-2019","Não","550","09:00","10:00","60","""Visita ao Instituto Madalena Caputo""","""Brasília/DF"""
"16-12-2019","Não","550","10:00","10:50","50","""Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República""","""Palácio do Planalto"""
"16-12-2019","Não","550","11:00","11:55","55","""Tarcísio Gomes de Freitas, Ministro de Estado da Infraestrutura""","""Brasília/DF"""
"16-12-2019","Não","550","12:00","13:00","60","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; e André Luiz de Almeida, Advogado-Geral da União""","""Palácio do Planalto"""
"16-12-2019","Não","550","14:00","14:45","45","""Paulo Guedes, Ministro de Estado da Economia; Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República; e Luiz Eduardo Ramos, Ministro-Chefe da Secretaria de Governo da Presidência da República""","""Palácio do Planalto"""
"16-12-2019","Não","550","14:45","15:15","30","""Davi Alcolumbre, Presidente do Senado Federal; Paulo Guedes, Ministro de Estado da Economia; Pedro Guimarães, Presidente da CAIXA; e Luiz Antonio França, Presidente da Associação Brasileira de Incorporadoras Imobiliárias – ABRAINC""","""Palácio do Planalto"""
"16-12-2019","Não","550","15:00","16:00","60","""1ª Reunião do Conselho de Estratégia Comercial da CAMEX""","""Palácio do Planalto"""
"16-12-2019","Não","550","16:10","18:00","110","""Entrevista a Fernando Rodrigues, Poder em Foco""","""Brasília/DF"""
"16-12-2019","Não","550","18:25","19:15","50","""Fernando Azevedo, Ministro de Estado da Defesa; e Ernesto Araújo, Ministro de Estado das Relações Exteriores""","""Palácio da Alvorada"""
"16-12-2019","Não","550","19:15","19:45","30","""Jorge Antonio de Oliveira, Ministro-Chefe da Secretaria-Geral da Presidência da República""","""Palácio da Alvorada"""
